row ID,row m/z,row retention time,LT-C4-1A.mzML crop_filtered_NEG Peak area,LT-C4-1B.mzML crop_filtered_NEG Peak area,LT-C4-1C.mzML crop_filtered_NEG Peak area,LT-C4-2A.mzML crop_filtered_NEG Peak area,LT-C4-2B.mzML crop_filtered_NEG Peak area,LT-C4-2C.mzML crop_filtered_NEG Peak area,LT-C4-3A.mzML crop_filtered_NEG Peak area,LT-C4-3B.mzML crop_filtered_NEG Peak area,LT-C4-3C.mzML crop_filtered_NEG Peak area,LT-C4-4A.mzML crop_filtered_NEG Peak area,LT-C4-4B.mzML crop_filtered_NEG Peak area,LT-C4-4C.mzML crop_filtered_NEG Peak area,LT-C4-5A.mzML crop_filtered_NEG Peak area,LT-C4-5B.mzML crop_filtered_NEG Peak area,LT-C4-5C.mzML crop_filtered_NEG Peak area,LT-C4-6A.mzML crop_filtered_NEG Peak area,LT-C4-6B.mzML crop_filtered_NEG Peak area,LT-C4-6C.mzML crop_filtered_NEG Peak area,LT-C4-7A.mzML crop_filtered_NEG Peak area,LT-C4-7B.mzML crop_filtered_NEG Peak area,LT-C4-7C.mzML crop_filtered_NEG Peak area,PROCBLANKA.mzML crop_filtered_NEG Peak area,PROCBLANKB.mzML crop_filtered_NEG Peak area,PROCBLANKC.mzML crop_filtered_NEG Peak area,zBLK02.mzML crop_filtered_NEG Peak area,zBLK03.mzML crop_filtered_NEG Peak area,zBLK04.mzML crop_filtered_NEG Peak area,zBLK05.mzML crop_filtered_NEG Peak area,zBLK06.mzML crop_filtered_NEG Peak area,zBLK07.mzML crop_filtered_NEG Peak area,
1,309.2073436918713,5.937018128571428,1.616888851428223E9,1.47776850020385E9,1.2022105231677964E9,7012790.008570461,5606324.552183202,4547669.949467628,9.019619195995909E8,7.759984193281616E8,8.537426336729567E8,6210969.320928396,4059126.8835003376,3209058.1633691653,2882725.5940491287,3037779.0282142186,2039600.5509279072,1298126.5573812004,1362195.5406024863,1335296.0793299032,1.4136204428029217E7,1.1467209456840394E7,2.250044194910269E7,0,0,0,0,0,0,0,0,0,
2,291.19688488188245,5.9733325571428555,1.1826805759527192E9,1.0765600110365238E9,8.870647588871528E8,5947442.96011837,5035855.723041311,4069830.716654331,7.032878694682605E8,6.225128502442309E8,6.745107875539892E8,5274417.4821389895,3851531.9967419314,2937348.735308843,2773864.641255536,3147935.7810445926,1531055.331770218,1097094.107086429,1136892.6218299957,1119796.5958098192,5683349.68055907,5153068.354721196,6061890.13794412,0,0,0,0,0,0,0,0,0,
3,311.222469329834,6.39330286875,8.474153886720644E8,7.358637902189709E8,6.202592814342237E8,4177845.271631486,3122195.828900264,2366304.2018293333,3.2230022996748173E8,2.828599047636165E8,3.0426812646102196E8,2791532.664333022,1841826.5570884452,1109694.980652767,1551964.8217408138,1453087.4964294643,0,0,0,0,2786719.933819129,0,2738770.145274328,0,0,0,0,0,0,0,0,0,
4,341.19698680530894,4.600152345454545,5.673475695679885E8,5.012102143834986E8,4.280769886336071E8,1951213.3430923123,941692.8829379593,0,6.589105828547716E7,4.227391584317235E7,4.7463824562189154E7,0,0,0,0,0,0,0,0,0,6774175.167610923,6883252.494721633,6377145.817282911,0,0,0,0,0,0,0,0,0,
5,293.2125015258789,6.37394497,4.5619499247531366E8,3.9326620692292994E8,3.339509806265841E8,2.067154876138257E7,2.045244569422114E7,2.1876614871323362E7,3.518928520635194E8,3.0890131637907505E8,3.395151615242109E8,4003598.9931475176,2952939.6739874543,1551705.0644551378,2191290.425200132,2174563.5494913873,1224256.1306732807,0,699107.1768973004,586399.2102221532,5855426.3550555445,5643282.526020118,5749988.652157341,0,0,0,0,0,0,0,0,0,
6,293.21252261891084,5.782004582352942,2.981472797944817E8,2.7215317625439906E8,2.2678424793876338E8,2600423.0244881846,2406225.1164870486,1851546.67399249,1.4449039048568067E8,1.3135984833453056E8,1.3980672338049713E8,7532073.202711617,7521941.691596544,6892746.369980493,938613.892553343,1290338.867379027,0,0,0,0,2.992445087174796E7,2.8704734717498608E7,3.1140581854425214E7,0,0,0,0,0,0,0,0,0,
7,341.1970486111111,4.8478045666666665,1.8862083827321184E8,1.7088588483812645E8,1.4184456272270745E8,0,0,0,1.4908282960463095E7,1.2901653737702223E7,1.3459847792346016E7,0,0,0,0,0,0,0,0,0,2944443.9027824793,2543021.3715620507,3071018.4224475445,0,0,0,0,0,0,0,0,0,
8,341.19701080322267,4.7564888199999995,1.5822806409942737E8,1.4222959154246262E8,1.1858813743826991E8,579787.322509195,0,0,1.6171364712267056E7,1.787840060109679E7,1.8893388240607478E7,0,0,0,0,0,0,0,0,0,1833546.2779880953,1471400.3105834553,1708788.4669835733,0,0,0,0,0,0,0,0,0,
9,619.4215647379557,5.940647266666667,1.2617900076053235E8,1.0065553713429768E8,7.684936014979802E7,0,0,0,4.103078783397397E7,3.415127285425694E7,3.333355644836428E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,197.80720850626628,3.7695326733333334,3.1020218255323404E8,2.8624556270787686E8,2.6355916920765573E8,1.6688728649035227E8,3.778150592328361E8,2.082712430399398E8,2.703598325691553E8,2.3712304696701404E8,2.5261700476680887E8,2.0041281368764544E8,4.1813836274540347E8,1.7648875558284113E8,2.540255565112373E7,2.377099562855772E7,2.092335924914091E7,2.1704414961362565E8,2.1110911825896487E8,2.0590623391746193E8,2.3613616626187953E8,2.3317752712587965E8,2.5748309368849292E8,2.318381616499421E8,2.3632087005082306E8,2.1605563897097465E8,3.276041499855959E7,2.865647683121346E7,2.984031849853012E7,2.81871013428298E7,2.7849459792176347E7,2.903510790214201E7,
11,195.81023686726888,3.7587839733333337,2.5357329361256146E8,2.3373790434760398E8,2.191218144177736E8,1.3512908444163743E8,3.095036187821123E8,1.6524059484401235E8,2.2017505690999734E8,1.948023387144719E8,2.0858881723845175E8,1.646345047392941E8,3.416497353411699E8,1.4346441046970743E8,2.155449546536423E7,2.000712320855633E7,1.708097660907075E7,1.7862092946516517E8,1.7332928572531268E8,1.6814003398510733E8,1.92212345196398E8,1.915387579450559E8,2.1238997017972422E8,1.9050976072476935E8,1.8886868724369517E8,1.7695203870122686E8,2.687090821241675E7,2.4728707709297348E7,2.4121444052782785E7,2.316971820049911E7,2.2852417316077784E7,2.3528974397838384E7,
12,325.2021423339844,4.368508630000001,1.6291970196312082E8,1.4553571627121574E8,1.2199496636749224E8,0,0,0,9075096.111269776,8511530.240796747,8886895.87429544,792538.1204056093,0,0,0,0,0,0,0,0,1.1803013203634055E8,1.2323913130804804E8,1.2915237000564247E8,0,0,0,0,0,0,0,0,0,
13,343.2127202351888,5.170585056666667,8.743766725174585E7,8.434184520802668E7,7.29216278384047E7,2255476.499357996,1778775.7631322136,1183500.4204802338,5128231.792667996,5569636.547927363,5190699.275259182,1150925.0437662024,1007063.4507424553,1275770.7891156455,2016549.9989545955,2047833.5910134513,1374363.0574245593,983815.8645432335,1123703.4802286734,1016272.9244303143,2371779.3059421554,2303465.3572469433,2406253.1994126257,1214925.0991303425,1138331.9281637727,1202444.837447437,1248486.790075916,1060627.0384148206,1176009.9617647203,762427.9282590355,1203101.1905378562,1052306.8565073083,
14,295.2279988606771,6.2242625,1.0037705076410268E8,8.961631325444922E7,7.748065409475662E7,1056797.0825207364,1152248.3274947267,938884.7415320219,4.267087703087061E7,3.857265168042307E7,4.041738387395746E7,1749243.1494723056,1655478.7948927882,1230453.7693950725,0,0,0,0,0,0,1.3357766860564211E7,1.42019921598056E7,1.5207896980286948E7,0,0,0,0,0,0,0,0,0,
15,345.18370564778644,5.940647266666667,8.082729399929911E7,7.101988119299303E7,5.704574402414608E7,0,0,0,3.813870310258654E7,3.091780537567981E7,3.350971720802593E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,313.23863983154297,6.779050149999999,1.067294229705545E8,3.4989157043330796E7,2.9352142474102385E7,0,0,0,1.9409521712975364E7,6567381.28921069,7149110.645277839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,199.80424474080402,3.7662893133333335,1.4610602136261493E8,1.3492526505922115E8,1.2292506635974544E8,1.782749595668444E8,1.774145277134794E8,9.81723449472243E7,1.2648216754939812E8,1.1204669184259291E8,1.1951442999282369E8,9.555878613865374E7,1.9429490420096183E8,8.196069964066333E7,1.1822256729658803E7,1.100302892046055E7,9907429.013913188,1.0314676263401796E8,9.946603730705622E7,9.478415665357032E7,1.1088356194747014E8,1.1014883281778836E8,1.2281200126335669E8,1.10675363464746E8,1.1181368105615078E8,1.0356928455278926E8,1.5555920782673638E7,1.3218380515527196E7,1.4178873694418246E7,1.3386492709573772E7,1.2844930738068894E7,1.3617988543201033E7,
18,341.1968505859375,3.87916213,1.1974715237378494E8,1.0622761936978276E8,9.440926361291924E7,496641.8021655223,0,0,2222113.625753014,2501119.960680776,2477897.2161228303,0,0,0,0,0,0,0,0,0,4.467041835799271E7,2.604280450591424E7,3.3143188101766877E7,0,0,0,0,0,0,0,0,0,
19,305.17599317762586,4.822727011111111,4.585602806374351E7,4.0814643832621716E7,3.6285343846428104E7,0,0,0,3990551.048400653,3653629.629273664,3405662.9359281715,0,0,0,0,0,0,0,0,0,2521631.9001154574,2285476.1484161313,3402613.900739155,0,0,0,0,0,0,0,0,0,
20,309.2073965072632,4.91796388125,7.787753615295742E7,6.92829353049005E7,5.1818931501449056E7,1126373.7513885838,0,0,1.060793907376946E7,9619883.126630789,1.0228546173538104E7,1466807.919445388,1388979.752530656,1581256.7393249453,5496899.282913083,5462747.31024012,5924864.674698213,0,0,0,7.057464239218815E7,6.6878389788904E7,7.025766480582757E7,0,0,0,0,0,0,0,0,0,
21,325.2022654215495,4.735620266666667,8.05354934394826E7,5.354174855853209E7,5.14337727186727E7,1222068.111949465,952605.1793336598,1017190.2850503549,7081828.033758478,5843137.80351151,6704988.361593551,0,0,0,0,0,0,0,0,0,9418970.698751798,8874351.916283134,7931956.234074761,0,0,0,0,0,0,0,0,0,
22,225.11279019442472,3.343148127272728,4.066706860446529E7,3.7367253271526136E7,3.2440797313955877E7,1073004.526241485,605035.4935769588,0,1094243.2749147534,1427482.1941538544,1420005.192429967,0,0,0,0,0,0,0,0,0,2.421884699964301E7,2.29943559501085E7,2.6279764871334486E7,0,0,0,0,0,0,0,0,0,
23,373.18686930338544,4.364199183333334,7.74144073962926E7,6.878110680602537E7,5.923179565757757E7,0,0,0,1034147.902045582,1167176.0608964383,1064383.9469674411,0,0,0,1940704.8094271293,1264760.214169582,1158975.5789372316,1285878.4078795458,1302035.3001591272,1104480.2027753175,0,0,0,0,0,0,0,0,0,0,0,0,
24,377.1947021484375,5.925318312499999,6.405542196062085E7,6.448225559622486E7,5.6574555508530125E7,0,0,0,4.878515573974604E7,4.333904974008205E7,4.534941225029794E7,0,0,0,0,0,0,0,0,0,1004530.0778050374,990597.8109569724,0,0,0,0,0,0,0,0,0,0,
25,311.222992960612,5.206816786666666,5.366969610848646E7,5.060366227936211E7,4.39608390530241E7,523584.2212779232,522873.22900749976,935543.6358674077,2787776.5889033354,2557146.4739896925,2898670.550105457,0,0,0,2416492.8620893233,1941999.1512843806,2554560.5792077845,0,0,0,1.8999320879021008E7,1.8420226625575367E7,1.5809519766090004E7,0,0,0,0,0,0,0,0,0,
26,305.1759762234158,4.703504966666667,1.774981829143659E7,1.5529363442080392E7,1.3417687013421733E7,0,0,0,7914323.43205132,3108352.721687437,3119240.1198366447,0,0,0,0,0,0,0,0,0,4.0307407967273556E7,3.808546122093617E7,3.9998159116457514E7,0,0,0,0,0,0,0,0,0,
27,341.1970733642578,4.356547399999999,5.683821692740485E7,5.119112507191638E7,4.0641152565223396E7,855806.659579359,0,0,3388943.697106613,3277430.696668164,3526841.3315844587,0,0,0,0,0,0,0,0,0,8493175.23051366,8360960.167672884,9626187.466917079,0,0,0,0,0,0,0,0,0,
28,325.20226033528644,5.268932993333333,4.816104744231732E7,5.1925259052791975E7,4.666389641318174E7,1724860.9202532985,1673267.5677682878,1079489.5942575235,1.0275529338301718E7,1.4336124723050995E7,1.3322433681329552E7,2362456.8539309306,2375988.4859580677,1629779.0209991257,0,0,0,0,0,0,1.1287273851862054E7,1.1230318591488212E7,1.1711922245298646E7,0,0,0,0,0,0,0,0,0,
29,242.17584355672201,3.7906117033333335,3.558347342342723E7,3.814542665512539E7,3.42267694100938E7,3.990460737468738E7,3.53067340638327E7,3.748424909050909E7,3.888208536779742E7,3.7197784557187796E7,3.81522380016147E7,3.838179198421567E7,4.146415301635848E7,3.969993692138534E7,3.892071058034198E7,3.90608897735026E7,3.822203645394838E7,3.3544819668161057E7,3.025141902015413E7,3.372052281986229E7,3.690363391978249E7,3.4829213525454074E7,3.7563169074514665E7,3.305305852050676E7,3.4646663835266404E7,3.276978147095379E7,3.096765203707135E7,3.2654608617694005E7,3.572691709994912E7,3.013254725395187E7,3.123250990209758E7,3.640788174982605E7,
30,313.23875427246094,6.601737388888889,3.2604788109310556E7,3.264771993924341E7,2.788582547462662E7,0,0,0,7377028.556558723,7148229.710605265,7601779.498514259,0,0,0,0,0,0,0,0,0,2801924.8837908274,2245579.967719371,2717499.5729393484,0,0,0,0,0,0,0,0,0,
31,325.20233561197915,5.146114659999999,2.9475046395641945E7,2.1520709736737285E7,1.953297131025491E7,991859.0869365237,931183.7166672081,1054845.0932405528,4603041.123163703,4423019.068370058,3945909.013201484,897307.5708072446,915273.8718608113,638674.8831904425,0,0,0,0,0,0,5708853.491428216,4746328.107753208,5717831.331726744,0,0,0,0,0,0,0,0,0,
32,641.4035390218099,5.944282333333334,2.4608078631697293E7,2.1512452936776318E7,1.789836860602973E7,0,0,0,1.0356534781386947E7,8813890.318380699,9450523.238669554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,309.2074546813965,5.0518939,3.465789209894394E7,3.133853607255688E7,2.76793643973191E7,846670.5922728289,0,0,5257233.207054207,5890504.864182006,5259548.292887258,1538553.0229311697,1019636.0226867038,1158080.898555258,5358986.090573014,4392996.295785225,4446983.889452953,0,0,0,2.912695055422413E7,2.6958405692654286E7,3.2744335747568972E7,0,0,0,0,0,0,0,0,0,
34,295.22789255777997,6.866193783333333,3.750761385214565E7,2.4384840760417897E7,2.0440906285537105E7,4304354.8830088,3299276.2448202623,3430810.281837026,7739840.280743726,7720538.552424792,7690971.587924629,0,0,0,0,0,0,0,0,0,3642600.2609593766,3276355.6546929125,2683727.5997272898,0,0,0,0,0,0,0,0,0,
35,190.92761306762696,0.5534235666666666,9.88600920013646E7,7.125217110301626E7,7.706939815840456E7,6.161629868956682E7,5.348552036390708E7,7.622289893295886E7,1.582348563202153E8,1.2077389928651004E8,1.2173419618663283E8,1.2056616236971775E8,5.273250826861498E7,7.91209585739945E7,1.3189858940241441E8,9.441074562425987E7,7.66660237602556E7,8.455437614347902E7,9.324366836815837E7,8.991458615599215E7,1.1046446516927975E8,1.1280033889477281E8,1.1271957121678449E8,5.329760997876848E7,1.2067760270390688E8,5.251755617948504E7,1.2232110998680222E8,5.114047510505447E7,7.549566204889897E7,5.493205134216584E7,7.430443792065765E7,5.850482779232355E7,
36,307.19175720214844,5.1356609777777775,2.7824789226638965E7,2.4816158130993865E7,2.1794609982994944E7,0,0,0,2156865.7803139547,2321980.564062268,1937895.9911388676,0,0,0,0,0,0,0,0,0,3370097.395350473,3552854.842930138,3704043.289982452,0,0,0,0,0,0,0,0,0,
37,379.21036020914715,6.365284416666667,4.66772784150118E7,4.091742746534055E7,3.7221420220853135E7,0,0,0,2.1487457086448316E7,1.986991414011406E7,2.049905463015313E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,357.1922030978733,4.1595849,7.231997777628951E7,6.97608359266709E7,6.396883656721056E7,0,0,0,2412942.241375712,2978053.811038558,2950295.0310925576,0,0,0,0,0,0,0,0,0,4948892.210727704,4865863.323876478,5052782.014659115,0,0,0,0,0,0,0,0,0,
40,285.2073482937283,5.914189422222222,3.7033796998205684E7,3.541939063252447E7,2.867095722795523E7,0,0,0,8266420.982701214,8127366.800351451,8776195.992132252,0,0,0,0,0,0,0,0,0,1126352.5980021902,1025420.1336943874,1231994.6064585815,0,0,0,0,0,0,0,0,0,
