row ID,row m/z,row retention time,LT-C4-1A.mzML crop_filtered_POS Peak area,LT-C4-1B.mzML crop_filtered_POS Peak area,LT-C4-1C.mzML crop_filtered_POS Peak area,LT-C4-2A.mzML crop_filtered_POS Peak area,LT-C4-2B.mzML crop_filtered_POS Peak area,LT-C4-2C.mzML crop_filtered_POS Peak area,LT-C4-3A.mzML crop_filtered_POS Peak area,LT-C4-3B.mzML crop_filtered_POS Peak area,LT-C4-3C.mzML crop_filtered_POS Peak area,LT-C4-4A.mzML crop_filtered_POS Peak area,LT-C4-4B.mzML crop_filtered_POS Peak area,LT-C4-4C.mzML crop_filtered_POS Peak area,LT-C4-5A.mzML crop_filtered_POS Peak area,LT-C4-5B.mzML crop_filtered_POS Peak area,LT-C4-5C.mzML crop_filtered_POS Peak area,LT-C4-6A.mzML crop_filtered_POS Peak area,LT-C4-6B.mzML crop_filtered_POS Peak area,LT-C4-6C.mzML crop_filtered_POS Peak area,LT-C4-7A.mzML crop_filtered_POS Peak area,LT-C4-7B.mzML crop_filtered_POS Peak area,LT-C4-7C.mzML crop_filtered_POS Peak area,PROCBLANKA.mzML crop_filtered_POS Peak area,PROCBLANKB.mzML crop_filtered_POS Peak area,PROCBLANKC.mzML crop_filtered_POS Peak area,zBLK02.mzML crop_filtered_POS Peak area,zBLK03.mzML crop_filtered_POS Peak area,zBLK04.mzML crop_filtered_POS Peak area,zBLK05.mzML crop_filtered_POS Peak area,zBLK06.mzML crop_filtered_POS Peak area,zBLK07.mzML crop_filtered_POS Peak area,
1,201.1639142036438,5.4848950125,3.289791718371508E8,3.230561562411909E8,2.68384073479022E8,1.7454596025988664E7,2.7189307781170066E7,2.8756316383425552E7,1.974373828072546E7,1.821616969123915E7,2.1765550194309697E7,1189447.318695867,1221088.3064488366,1337383.5698670126,0,1294349.2402202187,0,0,0,0,1167965.848674539,958103.2990968704,1325036.1947220217,0,0,0,0,0,0,0,0,0,
2,237.1851416088286,5.159182000000001,3.7423040550547713E8,3.4491404696318513E8,2.9889402228352165E8,5.726722553242476E7,6.409292404244972E7,6.0268347788482405E7,1.4870525129958421E7,1.4044176728488136E7,1.392008224481069E7,901303.1981140272,962336.4384642427,1012221.1573315721,1794069.9851415812,916928.6141924519,585785.288826168,1524875.335477422,1601686.1127406622,1625004.1395596128,2821350.3675433146,2966917.896373169,2901875.772763434,0,0,0,0,0,0,0,0,0,
3,360.238298034668,4.631272690000001,4.433569743355524E8,3.8337880968526757E8,3.3002630611375725E8,1258463.8847856356,0,0,3.3560549445634E7,3.2992869386925127E7,2.692913720553932E7,0,0,0,0,0,0,0,0,0,3626028.7033644086,4031555.989835302,4159020.7069223155,0,0,0,0,0,0,0,0,0,
4,293.2111634753999,5.973862647619049,3.882839204925722E8,3.5832458474985504E8,3.014861496673503E8,8175786.56893733,8740764.186901059,6887024.232441356,4.233285197335259E8,3.910573110868243E8,4.140982825342875E8,6753248.153104483,5402152.716737285,4773751.176335515,4431766.499232787,5787582.508175162,2037257.641659478,1722520.472339504,2398201.4059965527,1444196.4998278548,4.677392250812657E7,2.800182594325634E7,3.619389253062378E7,0,0,0,0,0,0,0,0,0,
5,254.21128845214844,5.1791444,2.3415845383519697E8,2.1500243205324748E8,1.8519076674950334E8,4631105.112790458,4685696.490993457,6214104.464736063,4724529.886772789,1648503.3820007867,4513340.396667998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025155.0039860453,0,0,0,0,0,0,
6,291.2318309437145,6.903584254545455,2.3378887087538064E8,2.1594770562074664E8,1.7796068989733028E8,3810051.631469181,4379945.919374885,3484806.8466874314,1712168.3370100735,2914265.019091001,1805839.1667332733,0,0,0,766149.84349221,898168.7949667943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,203.17970869276257,6.099293811111111,3.509933709846594E8,3.2135124676184666E8,3.2525255002157056E8,1.0674730248738132E7,9361965.73139379,9158050.639373435,2964498.170280417,3767338.4211903214,3048938.1120367497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,203.1796612209744,6.370885988888889,2.868117386149172E8,2.638782776211937E8,1.9724085115639737E8,7197896.235042247,5982409.636596699,6008806.036750019,2250309.8577447454,3265386.2666432783,2849926.4450041126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,328.2484537760417,5.93305465,2.3160664727471328E8,2.107682042627821E8,1.7500431724448317E8,1717952.1529748742,1723671.6008258066,1453554.8040851597,1.1598907418412334E8,1.0257957496242973E8,1.0955596684219393E8,0,0,0,0,0,0,0,0,0,3402228.3871196164,3353287.232797828,3091587.651173723,0,0,0,0,0,0,0,0,0,
10,165.0548095703125,5.325717516666667,1.4511198545694178E8,1.3675880015544772E8,1.1545536516124094E8,546123.2950591681,0,0,0,660548.3423965396,437612.2479349696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
