year_collected,species,country,state_prov,locality,elevation,lat,lon,age,sex,ecto_presence,tick,flea,louse,mite,other_ecto
2025,Tamias minimus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",,39.121876,-117.275393,adult,female,1,0,4,2,0,0
2025,Tamias minimus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",,39.121876,-117.275393,adult,male,1,0,0,10,0,0
2025,Tamias minimus,United States,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",2679.328857,39.39970298,-114.628342,subadult,male,1,0,2,4,3,0
2025,Tamias minimus,United States,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",2665.048584,39.39972603,-114.627921,adult,male,1,0,2,4,4,1
2025,Tamias minimus,United States,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",2661.998779,39.39985503,-114.628681,adult,female,0,0,0,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",2233.296387,39.12284402,-117.276272,adult,female,1,0,3,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",,39.121876,-117.275393,adult,male,1,0,4,1,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",,39.121876,-117.275393,adult,male,1,0,16,4,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",2231.085205,39.12276297,-117.276267,adult,male,1,0,1,1,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",2234.054199,39.12279901,-117.276204,adult,female,1,0,4,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 7.5 km W of Toiyabe Range Peak, San Juan Campground",2214.336914,39.12280496,-117.276402,adult,female,1,0,2,6,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 5 km NE of North Toiyabe Peak, Birch Creek",,39.39812902,-117.038679,adult,female,0,0,0,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 5 km NE of North Toiyabe Peak, Birch Creek",,39.39828803,-117.046536,adult,male,1,0,1,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",2689.438721,39.39944096,-114.628042,adult,female,1,0,0,0,1,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 2.4 km N of Mt. Gilbert, Lamoille Creek",2176.311523,40.66055898,-115.444591,adult,male,1,0,0,2,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 2.4 km N of Mt. Gilbert, Lamoille Creek",2215.649658,40.65972799,-115.443702,adult,female,1,1,5,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 2.4 km N of Mt. Gilbert, Lamoille Creek",2162.269043,40.659959,-115.444064,subadult,female,1,0,0,2,1,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 7.5 km NE of Overland Lake, Myers Creek",2255.052734,40.50407404,-115.382936,adult,male,0,0,0,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 7.5 km NE of Overland Lake, Myers Creek",,40.50350801,-115.36696,adult,male,1,0,2,0,0,0
2025,Tamias umbrinus,United States,Nevada,"Humboldt-Toiyabe National Forest, Ruby Mountains, 7.5 km NE of Overland Lake, Myers Creek",2255.779053,40.50444804,-115.382655,adult,female,1,1,0,1,0,0
2025,Urocitellus beldingi,United States,Nevada,"Humboldt-Toiyabe National Forest, 5 km NE of North Toiyabe Peak, Birch Creek",2152.848145,39.39815501,-117.038661,adult,female,1,0,0,3,0,0
