gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
894740235,84aefc7e-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:Mammals:46766,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,,SPECIES,"Urocitellus beldingi (Merriam, 1888)",Urocitellus beldingi,,US,18 mi W Winnemucca,Nevada,PRESENT,,609765e0-4ce8-11db-b80e-b8a03c50a862,40.947553,-118.079796,3036,,,,,,6/29/84,29,6,1984,8428945,8428945,PRESERVED_SPECIMEN,OMNH,Mammals,46766,"PKK , 3567",,,CC0_1_0,,"Kennedy, P. K.",,,2026-04-18T01:47:41.967Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
891713207,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/330991,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,,SPECIES,"Urocitellus beldingi (Merriam, 1888)",Urocitellus beldingi,,US,,Nevada,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.304417,-119.910278,223,,,,,,2013-07-12T10:41:49,12,7,2013,8428945,8428945,HUMAN_OBSERVATION,iNaturalist,Observations,330991,,Justin,2013-11-06T02:50:43,CC_BY_NC_4_0,Kaitlin Backlund,Kaitlin Backlund,,,2026-04-18T10:04:04.922Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
812644570,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-07985,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus mollis,,SPECIES,"Spermophilus mollis Kennicott, 1863",Spermophilus mollis,,US,Battle Mountain,Nevada,PRESENT,,f56c5f80-055c-11d8-b84e-b8a03c50a862,40.6420529,-116.9340153,3244,,,,,,6/17/47,17,6,1947,2437328,7666001,PRESERVED_SPECIMEN,PSM,,Mammal-07985,,,,CC0_1_0,,W. L. Finley,,,2026-03-03T20:02:50.014Z,,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
686479964,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fbf28fa-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/1/49,1,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,152848,,,,CC_BY_4_0,,A Schwartz,,,2026-04-22T13:12:10.065Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476794,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa44b43-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/2/49,2,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149676,,,,CC_BY_4_0,,SCHWARTZ A & PORTER R,,,2026-04-22T13:12:09.602Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476793,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa44a36-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/2/49,2,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149675,,,,CC_BY_4_0,,SCHWARTZ A & PORTER R,,,2026-04-22T13:12:21.715Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476792,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa4492b-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/2/49,2,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149674,,,,CC_BY_4_0,,SCHWARTZ A & PORTER R,,,2026-04-22T13:12:05.191Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476791,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa44822-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/2/49,2,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149673,,,,CC_BY_4_0,,A Schwartz,,,2026-04-22T13:12:29.925Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476790,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa4471c-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/1/49,1,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149672,,,,CC_BY_4_0,,A Schwartz,,,2026-04-22T13:12:09.600Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
686476789,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,8fa44614-1ed8-11e3-bfac-90b11c41863e,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi,beldingi,SUBSPECIES,"Urocitellus beldingi beldingi (Merriam, 1888)",Urocitellus beldingi beldingi,,US,MT ROSE,Nevada,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.3437197,-119.9168506,1.01,,,,,,8/1/49,1,8,1949,8834018,8428945,PRESERVED_SPECIMEN,KU,KUM,149671,,,,CC_BY_4_0,,A Schwartz,,,2026-04-22T13:12:29.862Z,,COORDINATE_REPROJECTED;RECORDED_DATE_INVALID
