USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"Sage Hen Hills, Sheldon National Wildlife Refuge",3-Aug-78,41.962326,-119.235154,female,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Duck Creek Valley,Oct-50,39.430013,-114.71069,unknown,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",12-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",13-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",15-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",15-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",13-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",13-Jul-81,41.628305,-119.283545,female,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"River Ranch Road, 4 miles SW of Deeth, exit 328 of Interstate Highway 80",1-Aug-83,41.023246,-115.383387,male,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"River Ranch Road, 4 miles SW of Deeth, exit 328 of Interstate Highway 80",1-Aug-83,41.023246,-115.383387,female,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"River Ranch Road, 4 miles SW of Deeth, exit 328 of Interstate Highway 80",1-Aug-83,41.023246,-115.383387,female,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"River Ranch Road, 4 miles SW of Deeth, exit 328 of Interstate Highway 80",1-Aug-83,41.023246,-115.383387,female,,Tamias,Rodentia,Sciuridae,,,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",15-Jul-81,41.628305,-119.283545,male,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"about 3 km SE of Badger Cabin, Sheldon National Wildlife Refuge",15-Jul-81,41.628305,-119.283545,female,,Tamias,Rodentia,Sciuridae,6500,6500,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,17-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,18-May-09,41.58799,-118.43248,male,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,19-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,19-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,19-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,21-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,23-May-09,41.58799,-118.43248,male,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,24-May-09,41.58799,-118.43248,male,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,24-May-09,41.58799,-118.43248,female,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,24-May-09,41.58799,-118.43248,male,,Tamias,Rodentia,Sciuridae,4100,4100,Tamias minimus
