gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
665917679,41fc5c40-5e81-496f-9733-6b5681b3b7a5,e3b4ef3f-8578-42e0-b012-39f5e6ea2272,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/15/07,15,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198335,FMNH-Mammals-7782,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:33.631Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917678,41fc5c40-5e81-496f-9733-6b5681b3b7a5,485be27d-7d30-4208-b5e3-facce29aeab3,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/15/07,15,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198275,FMNH-Mammals-7781,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:31.976Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917668,41fc5c40-5e81-496f-9733-6b5681b3b7a5,393cbe5a-71eb-481a-acec-8ddaeefcc74b,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/14/07,14,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198274,FMNH-Mammals-7771,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:34.776Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917667,41fc5c40-5e81-496f-9733-6b5681b3b7a5,d5e722cf-9088-4e90-8223-46c7d5ee48c7,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/14/07,14,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198273,FMNH-Mammals-7770,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:33.430Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917654,41fc5c40-5e81-496f-9733-6b5681b3b7a5,61855223-42e8-4c09-b2dc-9579c9b7c6e0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 3.0 km N, 3.1 km W confluence of right and main forks Lamoille Cr",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.689089,-115.476061,,,,,,,8/13/07,13,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198336,FMNH-Mammals-7756,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:44.846Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917653,41fc5c40-5e81-496f-9733-6b5681b3b7a5,da9e1463-53a2-4712-bc87-f5f388831381,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 3.0 km N, 3.1 km W confluence of right and main forks Lamoille Cr",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.689089,-115.476061,,,,,,,8/13/07,13,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198271,FMNH-Mammals-7755,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:43.832Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917652,41fc5c40-5e81-496f-9733-6b5681b3b7a5,56cad28f-8790-4bdd-854d-06df4da8b94c,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/13/07,13,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198272,FMNH-Mammals-7754,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:35.130Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917651,41fc5c40-5e81-496f-9733-6b5681b3b7a5,f278b19d-6d0a-4d11-9c57-d5b10878aa6b,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/13/07,13,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198334,FMNH-Mammals-7753,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:42.775Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917650,41fc5c40-5e81-496f-9733-6b5681b3b7a5,e672aa47-49ee-4ce9-b65a-142c44602308,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 1.4 km N, 0.4 km W Mt Favre peak",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.597281,-115.379181,,,,,,,8/13/07,13,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198333,FMNH-Mammals-7752,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:48.280Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665917603,41fc5c40-5e81-496f-9733-6b5681b3b7a5,04ffc614-ed2b-4ec8-9aa2-16ed6f749f39,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias umbrinus,inyoensis,SUBSPECIES,"Tamias umbrinus inyoensis (Merriam, 1897)",Tamias umbrinus inyoensis,,US,"Ruby Mts, 0.6 km S, 0.3 km E confluence right & main forks of Lamoille Creek",Nevada,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,40.655231,-115.437711,,,,,,,8/10/07,10,8,2007,4263608,2437441,PRESERVED_SPECIMEN,FMNH,Mammals,198270,FMNH-Mammals-7705,,,CC0_1_0,The Field Museum of Natural History,L. R. Heaney,,,2026-02-26T00:47:38.421Z,,GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
