Pot #,Time to Oviposition Start,Time to Median Egg,Time to Oviposition End,Time to Death,5/8/2025,5/9/2025,5/10/2025,5/11/2025,5/12/2025,5/13/2025,5/14/2025,5/15/2025,5/16/2025,5/17/2025,5/18/2025,5/19/2025,5/20/2025,5/21/2025,5/22/2025,5/23/2025,5/24/2025,5/26/2025,5/27/2025,5/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,11,14,20,0,0,0,0,0,0,0,0,13,22,23,34,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,7,9,9,0,0,0,0,4,36,42,49,49,49,49,49,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0,0,0,21,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,9,9,9,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,9,12,12,0,0,0,0,0,0,10,55,56,56,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,6,7,22,0,0,3,13,48,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,11,13,13,0,0,0,0,0,0,0,16,18,21,37,42,42,42,42,42,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,6,6,9,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,6,8,9,0,0,3,9,49,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,12,15,16,0,0,0,0,0,0,0,0,0,0,73,74,74,77,77,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,16,16,22,0,0,0,0,0,0,0,0,0,0,2,2,2,2,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9,10,10,12,0,0,0,0,0,0,0,21,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,34,64,64,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8,8,8,8,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,6,6,6,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,17,20,20,0,0,0,0,0,0,0,0,0,0,0,8,12,14,14,41,69,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,53,56,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
