Date,Hour,Minute,Air temperature ,
03/01/2003 00:15:00,0,15,10.2,
03/01/2003 00:30:00,0,30,10.5,
03/01/2003 00:45:00,0,45,10.3,
03/01/2003 01:00:00,1,0,10.1,
03/01/2003 01:15:00,1,15,10,
03/01/2003 01:30:00,1,30,10.1,
03/01/2003 01:45:00,1,45,11.6,
03/01/2003 02:00:00,2,0,10.6,
03/01/2003 02:15:00,2,15,10.9,
03/01/2003 02:30:00,2,30,10,
03/01/2003 02:45:00,2,45,10.1,
03/01/2003 03:00:00,3,0,10,
03/01/2003 03:15:00,3,15,10.3,
03/01/2003 03:30:00,3,30,10,
03/01/2003 03:45:00,3,45,10,
03/01/2003 04:00:00,4,0,10.4,
03/01/2003 04:15:00,4,15,10.5,
03/01/2003 04:30:00,4,30,10,
03/01/2003 04:45:00,4,45,10.1,
03/01/2003 05:00:00,5,0,10.7,
03/01/2003 05:15:00,5,15,10.3,
03/01/2003 05:30:00,5,30,11,
03/01/2003 05:45:00,5,45,11,
03/01/2003 06:00:00,6,0,9.9,
03/01/2003 06:15:00,6,15,11.4,
03/01/2003 06:30:00,6,30,12.1,
03/01/2003 06:45:00,6,45,13.5,
03/01/2003 07:00:00,7,0,15.9,
03/01/2003 07:15:00,7,15,16.7,
03/01/2003 07:30:00,7,30,18.4,
03/01/2003 07:45:00,7,45,19.4,
03/01/2003 08:00:00,8,0,20.6,
03/01/2003 08:15:00,8,15,21.4,
03/01/2003 08:30:00,8,30,21.4,
03/01/2003 08:45:00,8,45,21.3,
03/01/2003 09:00:00,9,0,20.7,
03/01/2003 09:15:00,9,15,20.5,
03/01/2003 09:30:00,9,30,20.5,
03/01/2003 09:45:00,9,45,20.8,
03/01/2003 10:00:00,10,0,20.1,
03/01/2003 10:15:00,10,15,20.1,
03/01/2003 10:30:00,10,30,19.9,
03/01/2003 10:45:00,10,45,20.1,
03/01/2003 11:00:00,11,0,20.1,
03/01/2003 11:15:00,11,15,20,
03/01/2003 11:30:00,11,30,20.1,
03/01/2003 11:45:00,11,45,20.1,
03/01/2003 12:00:00,12,0,20.2,
03/01/2003 12:15:00,12,15,21,
03/01/2003 12:30:00,12,30,22.1,
03/01/2003 12:45:00,12,45,23.7,
03/01/2003 13:00:00,13,0,23.8,
03/01/2003 13:15:00,13,15,24.9,
03/01/2003 13:30:00,13,30,25.5,
03/01/2003 13:45:00,13,45,25,
03/01/2003 14:00:00,14,0,24,
03/01/2003 14:15:00,14,15,22.9,
03/01/2003 14:30:00,14,30,22.2,
03/01/2003 14:45:00,14,45,21.8,
03/01/2003 15:00:00,15,0,20.9,
03/01/2003 15:15:00,15,15,19.7,
03/01/2003 15:30:00,15,30,19.7,
03/01/2003 15:45:00,15,45,19.6,
03/01/2003 16:00:00,16,0,19.8,
03/01/2003 16:15:00,16,15,19.9,
03/01/2003 16:30:00,16,30,20,
03/01/2003 16:45:00,16,45,20.1,
03/01/2003 17:00:00,17,0,20.1,
03/01/2003 17:15:00,17,15,20.4,
03/01/2003 17:30:00,17,30,20.6,
03/01/2003 17:45:00,17,45,20.4,
03/01/2003 18:00:00,18,0,20.1,
03/01/2003 18:15:00,18,15,20.6,
03/01/2003 18:30:00,18,30,20.4,
03/01/2003 18:45:00,18,45,20.6,
03/01/2003 19:00:00,19,0,21.1,
03/01/2003 19:15:00,19,15,20.6,
03/01/2003 19:30:00,19,30,19,
03/01/2003 19:45:00,19,45,17.7,
03/01/2003 20:00:00,20,0,16.4,
03/01/2003 20:15:00,20,15,15.5,
03/01/2003 20:30:00,20,30,14.9,
