USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc-sa/3.0,United States,North Carolina,Murphy Township,18-Mar-54,35.08,-84.03,male,adult,Ochrotomys,Rodentia,Cricetidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,4.5 mi SE Andrews,12-Feb-46,35.1529,-83.7687,male,,Plecotus,Chiroptera,Vespertilionidae
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,"Chattahoochie National Forest, 3.5 mi N Georgia state line",10/17/88,35.042773,-83.749418,female,,Blarina,Soricomorpha,Soricidae
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,"Chattahoochie National Forest, 3.5 mi N Georgia state line",10/17/87,35.042773,-83.749418,female,,Blarina,Soricomorpha,Soricidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Rocky Point of Thunderhead Mountain, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.566756,-83.707393,male,,Microtus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Laurel Top of Thunderhead Mountain, Great Smoky Mountains National Park",Apr 24 1933,35.566756,-83.707393,male,,Peromyscus,Rodentia,Cricetidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,female,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Perimyotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,female,,Eptesicus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Eptesicus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Eptesicus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Eptesicus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,female,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,female,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,female,,Plecotus,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
