COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,DETECTED,NOT_DETECTED,SEX,WEIGHT,LIFE_STAGE,EXAMINED_FOR,NOT_EXAMINED_FOR,SPECIES
United States,North Carolina,Murphy Township,18-Mar-54,35.08,-84.03,,,male,,adult,,,Ochrotomys nuttalli
United States,North Carolina,4.5 mi SE Andrews,12-Feb-46,35.1529,-83.7687,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,"Chattahoochie National Forest, 3.5 mi N Georgia state line",10/17/88,35.042773,-83.749418,,,female,,,,,Blarina brevicauda
United States,North Carolina,"Chattahoochie National Forest, 3.5 mi N Georgia state line",10/17/87,35.042773,-83.749418,,,female,,,,,Blarina brevicauda
United States,North Carolina,"Rocky Point of Thunderhead Mountain, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.566756,-83.707393,,,male,34 g,,,,Microtus chrotorrhinus
United States,North Carolina,"Laurel Top of Thunderhead Mountain, Great Smoky Mountains National Park",Apr 24 1933,35.566756,-83.707393,,,male,18.68 g,,,,Peromyscus maniculatus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Myotis keenii
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Myotis lucifugus
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,female,,,,,Myotis lucifugus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Myotis lucifugus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Myotis lucifugus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Myotis leibii
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Perimyotis subflavus
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,female,,,,,Eptesicus fuscus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Eptesicus fuscus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Eptesicus fuscus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Eptesicus fuscus
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,8-Jan-46,35.309,-83.6477,,,female,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,female,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,female,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Jan-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,,,male,,,,,Myotis lucifugus
United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,,,female,,,,,Myotis keenii
United States,North Carolina,Hewitt Station,12-Feb-46,35.309,-83.6477,,,male,,,,,Myotis sodalis
United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,,,male,,,,,Myotis leibii
United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,,,male,,,,,Plecotus rafinesquii
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Microtus chrotorrhinus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Microtus chrotorrhinus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Microtus chrotorrhinus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Synaptomys cooperi
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Synaptomys cooperi
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,,,,,Blarina brevicauda
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,18.77 g,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,20.65 g,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,17.15 g,,,,Peromyscus maniculatus
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,male,17.3 g,,,,Blarina brevicauda
United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,,,female,16.1 g,,,,Blarina brevicauda
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,female,,,,,Myodes gapperi
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,female,15.8 g,,,,Peromyscus maniculatus
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,female,21.15 g,,,,Peromyscus maniculatus
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,unknown,18.72 g,,,,Blarina brevicauda
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,female,19.2 g,,,,Blarina brevicauda
United States,North Carolina,"Clingmans Dome, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.562872,-83.498496,,,unknown,18.2 g,,,,Blarina brevicauda
United States,North Carolina,"Mount Collins, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.586206,-83.472939,,,female,4.27 g,,,,Sorex cinereus
