Process,Number,sample,Sample,run,concentration,abs,h,dilution,j,k,units,test,number,run_time,Notes,Site
RUNSTARTED,1652717920,5/16/2022 12:18,,,,,,,,,,,,,,PBG
RESULT,-1,S1,Standard 1,0,0.053045,0.053045,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719286,5/16/2022 12:41,,
RESULT,-2,S90,Standard 90,1,0.063608,0.063608,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719416,5/16/2022 12:43,,
RESULT,-2,S91,Standard 91,2,0.079285,0.079285,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719544,5/16/2022 12:45,,
RESULT,-2,S92,Standard 92,3,0.105578,0.105578,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719672,5/16/2022 12:47,,
RESULT,-2,S93,Standard 93,4,0.188386,0.188386,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719802,5/16/2022 12:50,,
RESULT,-2,S94,Standard 94,5,0.329600,0.3296,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652719931,5/16/2022 12:52,,
RESULT,-2,S95,Standard 95,6,0.477389,0.477389,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720059,5/16/2022 12:54,,
RESULT,-2,S96,Standard 96,7,0.641298,0.641298,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720193,5/16/2022 12:56,,
RESULT,-1,S0,Standard 0,8,0.054138,0.054138,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720321,5/16/2022 12:58,,
CALIBRATION,KCL NO3_NO2 2,1652720322,5/16/2022 12:58,,,,,,,,,,,,,
RESULT,5,C21,Nitrate Standard,9,0.952968,0.325349,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720454,5/16/2022 13:00,,
RESULT,6,C22,Nitrite Standard,10,1.147475,0.381954,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720582,5/16/2022 13:03,,
QCPRORESULT,REDUCTION EFFICIENCY,83.049156,1652720582,,,,,,,,,,,,,
QCPRODECISION,IN,1652720582,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,11,0.957129,0.32656,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720716,5/16/2022 13:05,,
QCPRORESULT,NORMAL,0,1652720716,,,,,,,,,,,,,
QCPRODECISION,IN,1652720716,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,12,0.022517,0.054574,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720845,5/16/2022 13:07,,
QCPRORESULT,NORMAL,0,1652720845,,,,,,,,,,,,,
QCPRODECISION,IN,1652720845,,,,,,,,,,,,,,
RESULT,7,U1,C3B-A-5-N,13,1.035295,0.349308,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652720978,5/16/2022 13:09,,
RESULT,7,C14,Auto Spike,14,2.011482,0.56572,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652721106,5/16/2022 13:11,,
QCPRORESULT,AUTO SPIKE,97.61869,1652721106,,,,,,,,,,,,,
QCPRODECISION,IN,1652721106,,,,,,,,,,,,,,
RESULT,8,U2,C1SB-A-1,15,4.115568,1.245714,0,0,0,19,mg N/L,KCL NO3_NO2 2,1652721234,5/16/2022 13:13,,
AUTODILUTION,APPROVED,1652721234,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1652721234,,,,,,,,,,,,,,
RESULT,8,C14,Auto Spike,16,5.259368,1.401634,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652721368,5/16/2022 13:16,,
QCPRORESULT,AUTO SPIKE,114.380035,1652721368,,,,,,,,,,,,,
QCPRODECISION,IN,1652721368,,,,,,,,,,,,,,
AUTODILUTION,APPROVED,1652721368,,,,,,,,,,,,,,
