watershed,transect,plot,treatment
C1A,A,1,ABG
C1A,A,2,ABG
C1A,A,3,ABG
C1A,A,4,ABG
C1A,A,5,ABG
C1A,B,1,ABG
C1A,B,2,ABG
C1A,B,3,ABG
C1A,B,4,ABG
C1A,B,5,ABG
C1A,C,1,ABG
C1A,C,2,ABG
C1A,C,3,ABG
C1A,C,4,ABG
C1A,C,5,ABG
C1A,D,1,ABG
C1A,D,2,ABG
C1A,D,3,ABG
C1A,D,4,ABG
C1A,D,5,ABG
C1SB,A,1,ABG
C1SB,A,2,ABG
C1SB,A,3,ABG
C1SB,A,4,ABG
C1SB,A,5,ABG
C1SB,B,1,ABG
C1SB,B,2,ABG
C1SB,B,3,ABG
C1SB,B,4,ABG
C1SB,B,5,ABG
C1SB,C,1,ABG
C1SB,C,2,ABG
C1SB,C,3,ABG
C1SB,C,4,ABG
C1SB,C,5,ABG
C1SB,D,1,ABG
C1SB,D,2,ABG
C1SB,D,3,ABG
C1SB,D,4,ABG
C1SB,D,5,ABG
C3A,A,1,PBG
C3A,A,2,PBG
C3A,A,3,PBG
C3A,A,4,PBG
C3A,A,5,PBG
C3A,B,1,PBG
C3A,B,2,PBG
C3A,B,3,PBG
C3A,B,4,PBG
C3A,B,5,PBG
C3A,C,1,PBG
C3A,C,2,PBG
C3A,C,3,PBG
C3A,C,4,PBG
C3A,C,5,PBG
C3A,D,1,PBG
C3A,D,2,PBG
C3A,D,3,PBG
C3A,D,4,PBG
C3A,D,5,PBG
C3B,A,1,PBG
C3B,A,2,PBG
C3B,A,3,PBG
C3B,A,4,PBG
C3B,A,5,PBG
C3B,B,1,PBG
C3B,B,2,PBG
C3B,B,3,PBG
C3B,B,4,PBG
C3B,B,5,PBG
C3B,C,1,PBG
C3B,C,2,PBG
C3B,C,3,PBG
C3B,C,4,PBG
C3B,C,5,PBG
C3B,D,1,PBG
C3B,D,2,PBG
C3B,D,3,PBG
C3B,D,4,PBG
C3B,D,5,PBG
C3C,A,1,PBG
C3C,A,2,PBG
C3C,A,4,PBG
C3C,A,5,PBG
C3C,B,1,PBG
C3C,B,2,PBG
C3C,B,3,PBG
C3C,B,4,PBG
C3C,B,5,PBG
C3C,C,1,PBG
C3C,C,2,PBG
C3C,C,3,PBG
C3C,C,4,PBG
C3C,C,5,PBG
C3C,D,1,PBG
C3C,D,2,PBG
C3C,D,3,PBG
C3C,D,4,PBG
C3C,D,5,PBG
C3SA,A,1,PBG
C3SA,A,2,PBG
C3SA,A,3,PBG
C3SA,A,4,PBG
C3SA,A,5,PBG
C3SA,B,1,PBG
C3SA,B,2,PBG
C3SA,B,3,PBG
C3SA,B,4,PBG
C3SA,B,5,PBG
C3SA,C,1,PBG
C3SA,C,2,PBG
C3SA,C,3,PBG
C3SA,C,4,PBG
C3SA,C,5,PBG
C3SA,D,1,PBG
C3SA,D,2,PBG
C3SA,D,3,PBG
C3SA,D,4,PBG
C3SA,D,5,PBG
C3SB,A,1,PBG
C3SB,A,2,PBG
C3SB,A,3,PBG
C3SB,A,4,PBG
C3SB,A,5,PBG
C3SB,B,1,PBG
C3SB,B,2,PBG
C3SB,B,3,PBG
C3SB,B,4,PBG
C3SB,B,5,PBG
C3SB,C,1,PBG
C3SB,C,2,PBG
C3SB,C,3,PBG
C3SB,C,4,PBG
C3SB,C,5,PBG
C3SB,D,1,PBG
C3SB,D,2,PBG
C3SB,D,3,PBG
C3SB,D,4,PBG
C3SB,D,5,PBG
C3SC,A,1,PBG
C3SC,A,2,PBG
C3SC,A,3,PBG
C3SC,A,4,PBG
C3SC,A,5,PBG
C3SC,B,1,PBG
C3SC,B,2,PBG
C3SC,B,3,PBG
C3SC,B,4,PBG
C3SC,B,5,PBG
C3SC,C,1,PBG
C3SC,C,2,PBG
C3SC,C,3,PBG
C3SC,C,4,PBG
C3SC,C,5,PBG
C3SC,D,1,PBG
C3SC,D,2,PBG
C3SC,D,3,PBG
C3SC,D,4,PBG
C3SC,D,5,PBG
