site,treatment,mean_open_date,mean_seed_set
1,hand,93.5,44.312661292468135
1,open,93.8,40.18119296078435
1,pollinator exclusion,101.375,8.219994120997226
2,hand,87,42.2280580175317
2,open,89.375,64.21151671269942
2,pollinator exclusion,92.28571428571429,1.4162990480612954
3,hand,89.55555555555556,79.12363497860781
3,open,89.77777777777777,73.12547207756067
3,pollinator exclusion,94.16666666666667,26.566671298848977
4,hand,77.5,37.5
4,open,80.5,93.38507877664505
5,hand,92.125,64.69852241139655
5,open,90.77777777777777,64.36563347951783
5,pollinator exclusion,99.16666666666667,23.304958183990443
6,hand,91.6,49.48609739675294
6,open,90,62.521731627102454
6,pollinator exclusion,97.14285714285714,8.62701421633179
7,hand,89.77777777777777,51.24860470207579
7,open,88.375,46.4123883677445
7,pollinator exclusion,99.25,3.471107544141252
8,hand,92.3,62.75010646699648
8,open,90.88888888888889,50.17143823730666
8,pollinator exclusion,96.42857142857143,12.26063807202553
