project_name,calendar_year,treatment_year,season,plot,subplot,species,cover,sampler,notes
TEMPEST,2021,0,fall,C,C5,infrastructure cover,10,AY and RB,
TEMPEST,2021,0,fall,C,C5,canopy tree basal cover,3.5,AY and RB,
TEMPEST,2021,0,fall,C,C5,Fagus grandifolia,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Microstegium vimineum,14,AY and RB,
TEMPEST,2021,0,fall,C,C5,Bromus sp,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Carex sp,4,AY and RB,
TEMPEST,2021,0,fall,C,C5,Juniperus virginiana,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Mitchella repens,3,AY and RB,
TEMPEST,2021,0,fall,C,C5,Acer rubrum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Quercus velutina,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Pinus virginiana,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Rubus phoenicolasius,1,AY and RB,
TEMPEST,2021,0,fall,C,C5,Smilax rotundifolia,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Ilex opaca,0.5,AY and RB,
TEMPEST,2021,0,fall,C,C5,Symphyotrichum lateriflorus,1,AY and RB,
TEMPEST,2021,0,fall,C,C5,Epifagus virginiana,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Parthenocissus quinquefolia,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Elaeagnus umbellata,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Rhus radicans,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Liriodendron tulipifera,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Sassafras albidum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Chimaphila maculata,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Vitus sp,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Nyssa sylvatica,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Vaccinium fuscatum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Sanicula canadensis,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Sceptridium biternatum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C5,Galium circaezans,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,infrastructure cover,10,AY and RB,
TEMPEST,2021,0,fall,C,C7,canopy tree basal cover,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Fagus grandifolia,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Microstegium vimineum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Carex sp,2,AY and RB,
TEMPEST,2021,0,fall,C,C7,Mitchella repens,4,AY and RB,
TEMPEST,2021,0,fall,C,C7,Acer rubrum,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Ilex opaca,0.5,AY and RB,
TEMPEST,2021,0,fall,C,C7,Symphyotrichum lateriflorus,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Epifagus virginiana,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Parthenocissus quinquefolia,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Liriodendron tulipifera,0.25,AY and RB,
TEMPEST,2021,0,fall,C,C7,Chimaphila maculata,0.25,AY and RB,
