Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Acanthixalus_spinosus;Hyperoliidae;Afrobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;34,1;NA;NA;NA;2;0,3;9;0,95;28,26;1,45;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Acris_crepitans;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;25,6;22,8;24,2;-0,05;1,43165;0,16;252,25;2,4;405,86;2,61;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2030;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Acris_gryllus;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;24,5;22;23,25;-0,05;1,175;0,07;120,25;2,08;130,33;2,12;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2026;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Adelotus_brevis;Limnodynastidae;Australobatrachia;male-only care ;1;1;1;1;0;0;2;2;0;0;0;1;absent;32,03;35,5;33,76;0,04;1,9;0,28;270;2,43;765,14;2,88;Wikipedia;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Adelphobates_castaneoticus;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;20,5;NA;NA;NA;2;0,3;7;0,85;21,98;1,34;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Adelphobates_quinquevittatus;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;17,3;16,6;16,95;-0,02;NA;NA;NA;NA;NA;NA;Amphibiaweb, dendrobase.hu;;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;;
Adenomera_andreae;Leptodactylidae;Diphyabatracea;male-only care ;1;1;1;1;1;1;1;1;0;2;1;1;absent;24,05;23,3;23,68;-0,01;3;0,48;12;1,08;84,78;1,93;Amphibiaweb;Gomez-Mestre et al. 2016;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Adenomera_hylaedactyla;Leptodactylidae;Diphyabatracea;male-only care ;1;1;1;1;1;1;1;1;0;2;1;1;absent;24,85;22,7;23,78;-0,04;2,9;0,46;14,5;1,16;95,73;1,98;Amphibiaweb;Gomez-Mestre et al. 2019;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Agalychnis_annae;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;69,6;NA;NA;NA;3,415;0,53;104,5;2,02;956,68;2,98;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Agalychnis_callidryas;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;64,1;48,2;56,15;-0,12;3,45;0,54;193,25;2,29;1805,62;3,26;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
