USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Pine Forest Range; Head of Alder Creek,21-Jul-07,41.6785,-118.7543,female,,Urocitellus,Rodentia,Sciuridae,2156,2156,Urocitellus beldingi
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Pine Forest Range; Head of Alder Creek,21-Jul-07,41.6785,-118.7543,male,adult,Urocitellus,Rodentia,Sciuridae,2156,2156,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"head of Big Creek [=Cold Spring], Pine Forest Range",29-Jun-09,41.66879,-118.69037,male,,Urocitellus,Rodentia,Sciuridae,8000,8000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"head of Big Creek [=Cold Spring], Pine Forest Range",29-Jun-09,41.66879,-118.69037,female,,Urocitellus,Rodentia,Sciuridae,8000,8000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"head of Big Creek [=Cold Spring], Pine Forest Range",29-Jun-09,41.66879,-118.69037,female,,Urocitellus,Rodentia,Sciuridae,8000,8000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"head of Big Creek [=Cold Spring], Pine Forest Range",1-Jul-09,41.66879,-118.69037,female,,Urocitellus,Rodentia,Sciuridae,8000,8000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"head of Big Creek [=Cold Spring], Pine Forest Range",3-Jul-09,41.66879,-118.69037,male,,Urocitellus,Rodentia,Sciuridae,8000,8000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp I, South Fork Big Creek, Pine Forest Range",7-Jul-09,41.67279,-118.66826,female,,Urocitellus,Rodentia,Sciuridae,6200,6200,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp I, South Fork Big Creek, Pine Forest Range",8-Jul-09,41.67279,-118.66826,male,,Urocitellus,Rodentia,Sciuridae,6200,6200,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp IV, right fork Alder Creek [=Onion Valley Reservoir], Pine Forest Range",13-Jul-09,41.69821,-118.73738,female,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp IV, right fork Alder Creek [=Onion Valley Reservoir], Pine Forest Range",13-Jul-09,41.69821,-118.73738,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp IV, right fork Alder Creek [=Onion Valley Reservoir], Pine Forest Range",14-Jul-09,41.69821,-118.73738,female,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Camp IV, right fork Alder Creek [=Onion Valley Reservoir], Pine Forest Range",15-Jul-09,41.69821,-118.73738,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Leonard Creek, Pine Forest Range",22-Jul-09,41.64186,-118.69513,male,,Urocitellus,Rodentia,Sciuridae,6500,6500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Massacre Creek,29-May-20,41.63167,-119.60917,female,,Urocitellus,Rodentia,Sciuridae,5800,5800,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Bell's Ranch, Reese River",1-Jun-25,38.93389,-117.48083,female,,Urocitellus,Rodentia,Sciuridae,6890,6890,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Bell's Ranch, Reese River",1-Jun-25,38.93389,-117.48083,male,,Urocitellus,Rodentia,Sciuridae,6890,6890,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,4-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,4-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,4-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,6-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,6-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,7-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,7-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,7-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,8-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Birch Creek,22-Jun-30,39.3959732,-117.0343964,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Birch Creek,22-Jun-30,39.3959732,-117.0343964,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Meadow Creek Ranger Station, Toquima Range",12-Jun-33,38.69389,-116.91917,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
