USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"31 MI S, 16 MI E ELY",24-Mar-76,38.79812,-114.5895,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"8 MI S, 12 MI E EUREKA",25-Jun-82,39.39682,-115.73516,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"8 MI S, 12 MI E EUREKA",25-Jun-82,39.39682,-115.73516,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"8 MI S, 12 MI E EUREKA",25-Jun-82,39.39682,-115.73516,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,20-May-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,25-May-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,26-May-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"vicinity of Big Creek Ranch, Pine Forest Range",10-Jun-09,41.66889,-118.58694,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"vicinity of Big Creek Ranch, Pine Forest Range",11-Jun-09,41.66889,-118.58694,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,20-May-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,21-May-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,25-May-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,26-May-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,26-May-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,31-May-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,31-May-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,1-Jun-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,1-Jun-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,2-Jun-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,3-Jun-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,5-Jun-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,5-Jun-09,41.58799,-118.43248,female,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,5-Jun-09,41.58799,-118.43248,male,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"vicinity of Big Creek Ranch, Pine Forest Range",13-Jun-09,41.66889,-118.58694,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"vicinity of Big Creek Ranch, Pine Forest Range",17-Jun-09,41.66889,-118.58694,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,vicinity of Quinn River Crossing,2-Jun-09,41.58799,-118.43248,unknown,,Urocitellus,Rodentia,Sciuridae,4100,4100,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Virgin Valley,18-May-09,41.84417,-119.00944,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Virgin Valley,26-May-09,41.84417,-119.00944,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Virgin Valley,7-Jun-09,41.84417,-119.00944,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Little High Rock Canyon,7-Jun-20,41.2661694,-119.3653923,female,,Urocitellus,Rodentia,Sciuridae,5000,5000,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Hot Spring, Thousand Creek [Boggs]",17-Jun-20,,,female,,Urocitellus,Rodentia,Sciuridae,4300,4300,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Hot Spring, Thousand Creek [Boggs]",17-Jun-20,,,female,,Urocitellus,Rodentia,Sciuridae,4300,4300,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Hot Spring, Thousand Creek [Boggs]",18-Jun-20,,,female,,Urocitellus,Rodentia,Sciuridae,4300,4300,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Bell's Ranch, Reese River",3-Jun-25,38.93389,-117.48083,female,,Urocitellus,Rodentia,Sciuridae,6890,6890,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Fish Lake Valley, T6S R38E",14-Jun-27,37.79667,-118.00833,female,,Urocitellus,Rodentia,Sciuridae,5300,5300,Urocitellus mollis
