"lnPerform" "lnProt" "Fat.trans" "lnWtgain" "Elytra" "Ec.Weight.trans" "Adult.diet" "EndBBweight" "Developmenttime"
"1" 1.865103975 3.693287157 0.95 5.68357976733868 3.503 3.89 0 1.597 28
"2" 1.738780558 3.527629901 0.31 5.29831736654804 2.932 2.6 1 1.19 35
"3" 1.440909082 3.636487896 0.77 5.73009978297357 3.261 2.97 0 1.6064 27
"4" 1.748188027 3.895974732 1.05 5.84354441703136 3.506 4.61 1 1.8585 32
"5" 1.631443769 3.800717078 1.07 5.52545293913178 3.533 4.27 0 1.7871 29
"6" 1.669316881 3.645422269 0.74 5.70711026474888 3.499 3.51 1 1.228 29
"7" 1.685741739 3.817895757 0.85 5.66642668811243 3.419 3.41 0 1.418 28
"8" NA NA NA NA 3.046 3.49 0 1.355 31
"9" 1.336459734 3.735199548 0.8 5.66988092298052 3.232 2.96 1 0.895 28
"10" 1.352182518 3.696356389 0.07 5.66296048013595 3.329 3.62 1 1.5325 26
"11" 1.436162647 3.6599162 0.47 5.62401750618734 3.272 3.19 1 1.3074 35
"12" 1.85672889 3.873901598 0.64 5.66988092298052 3.326 3.25 1 0.9436 29
"13" 1.526339277 3.703119346 0.58 5.3890717298165 2.991 2.94 0 1.6441 36
"14" 1.671172843 3.6599162 0.83 5.72031177660741 3.257 3.46 0 1.5898 30
"15" 1.641474111 3.689308859 0.61 5.71042701737487 3.178 2.81 1 1.235 34
"16" NA 3.836956737 1.05 5.87773578177964 3.483 4.09 0 1.7577 26
"17" 1.555094449 3.840733235 0.64 5.30826769740121 2.834 2.59 0 0.9842 33
"18" 1.465382851 3.540954809 0.62 5.48063892334199 3.105 2.66 1 1.5076 28
"19" 1.638489257 3.855519156 0.69 5.63121178182137 3.114 2.82 0 1.4211 27
"20" 1.499687083 3.914343157 0.38 5.55682806169954 2.937 2.7 1 1.0013 30
"21" 1.741939078 3.825426118 0.99 5.80211837537706 3.298 3.49 0 1.5277 34
"22" 1.961421094 3.763427994 0.67 5.73657229747919 3.397 3.56 1 1.6168 29
"23" 1.770115295 3.896801698 0.87 5.75257263882563 3.36 3.7 0 1.23 27
"24" NA NA NA NA 3.283 3.22 0 1.1866 30
"25" NA NA NA NA NA 3.35 1 1.234 26
"26" 1.925312091 3.700270937 1.17 5.8171111599632 3.294 4.16 0 2.3348 28
"27" 1.779596491 3.846646329 0.83 5.6937321388027 3.26 3.51 1 2.0627 25
"28" 1.680335513 3.694605199 1.04 5.8805329864007 3.176 3.46 0 1.1789 27
"29" 1.810904281 3.924795996 0.77 5.8111409929767 3.23 3.2 1 1.139 26
"30" 1.675778342 3.86923172 0.68 5.65948221575962 3.274 2.91 1 1.641 29
"31" 1.575187845 3.981818607 0.94 5.90263333340137 3.287 3.59 1 1.2148 26
"32" 1.5774918 3.8659918 1.04 5.92157841964382 3.497 3.38 0 1.7233 24
"33" 1.608526034 3.789228057 1.19 5.77144112313002 3.258 3.66 0 1.2261 28
"34" 1.549003262 3.849726444 0.84 5.85220247977447 3.395 3.7 1 1.3846 28
"35" 1.378397901 3.859438535 0.56 5.47646355193151 2.896 2.43 0 0.797 28
"36" 1.699837726 3.639486489 0.73 5.62762111369064 3.035 2.88 0 1.1484 29
"37" 1.397940009 3.710117365 0.82 5.66642668811243 3.239 2.89 1 1.0188 25
