"lnPerform" "lnTestes" "lnProt" "Fat.trans" "lnWtgain" "Elytra" "Horn" "Ec.Weight.trans" "Adult.diet" "EndBBweight" "Developmenttime"
"1" 3.7796338173824 2.70805020110221 8.84721610435754 0.33 5.84354441703136 3.279 1.234 3.77 1 1.623 28
"2" 3.86911550441687 3.2188758248682 7.96137020171951 0.75 5.86078622346587 3.452 1.056 4.13 1 1.524 36
"3" NA NA NA NA NA 3.633 1.127 4.21 1 1.411 33
"4" 3.91002100275747 2.99573227355399 8.43814998407578 0.8 5.93489419561959 3.543 1.075 3.46 1 0.973 29
"5" 3.84801767545223 3.25809653802148 7.8458075026378 0.68 6.03787091992214 3.314 1.102 3.57 1 1.6383 28
"6" 3.73289633953071 3.13549421592915 8.71522404191537 0.8 5.87211778947542 3.229 1.089 3.46 1 0.874 28
"7" 3.65842024662923 3.25809653802148 8.16337131645991 0.66 5.8348107370626 3.593 1.049 3.75 1 1.8681 30
"8" 3.37758751602302 2.63905732961526 8.70781355102489 0.26 5.52942908751142 3.346 1.026 3.73 1 1.0496 29
"9" 3.87120101090789 2.77258872223978 8.30647216010058 0.35 5.605802066296 3.167 0.87 3.12 1 1.028 35
"10" 3.50254987592244 2.94443897916644 8.1969879272589 0.46 5.95842469302978 3.216 1.247 4.34 1 1.4153 30
"11" 3.91999117507732 2.56494935746154 8.4690528160883 0.57 5.92157841964382 3.473 1.105 3.45 1 1.3219 27
"12" 3.47506723022861 2.94443897916644 7.57558465155779 0.58 5.77765232322266 3.294 1.14 3.31 1 1.2856 32
"13" 3.76584049525006 2.89037175789616 8.52118521268578 0.51 5.91079664404053 3.327 1.109 3.22 1 0.8461 29
"14" NA NA NA NA NA 3.079 0.683 2.54 1 1.1088 32
"15" 3.87743156065853 2.83321334405622 8.17611034223734 0.71 6.00635315960173 3.396 1.227 4.05 1 1.7722 28
"16" 3.84374416467485 3.17805383034795 8.12415060330663 0.76 6.04500531403601 3.461 1.175 3.7 1 1.5888 28
"17" 3.23474917402449 NA NA NA 6.0282785202307 3.619 1.096 4.1 1 1.6989 29
