"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Murphy Township","18-Mar-54","male","adult","Ochrotomys","Rodentia","Cricetidae",c(-84.03, 35.08)
"United States","North Carolina","4.5 mi SE Andrews","12-Feb-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.7687, 35.1529)
"United States","North Carolina","Chattahoochie National Forest, 3.5 mi N Georgia state line","10/17/88","female","","Blarina","Soricomorpha","Soricidae",c(-83.749418, 35.042773)
"United States","North Carolina","Chattahoochie National Forest, 3.5 mi N Georgia state line","10/17/87","female","","Blarina","Soricomorpha","Soricidae",c(-83.749418, 35.042773)
"United States","North Carolina","Rocky Point of Thunderhead Mountain, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Microtus","Rodentia","Cricetidae",c(-83.707393, 35.566756)
"United States","North Carolina","Laurel Top of Thunderhead Mountain, Great Smoky Mountains National Park","Apr 24 1933","male","","Peromyscus","Rodentia","Cricetidae",c(-83.707393, 35.566756)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","female","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Perimyotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
