id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
32761,2009-05-19,2009-05-19,,Pacific Time (US & Canada),926,circatari,Cat,2011-09-27 03:53:37 UTC,2015-03-23 13:00:38 UTC,research,,http://www.inaturalist.org/observations/32761,http://static.inaturalist.org/photos/75917/medium.jpg,,"","",1,0,false,,"Savannah River Site, SC",33.2836111,-81.7263888,3627,,,,10000,,,false,,,Longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
46448,2008-12-27,2008-12-27,,Eastern Time (US & Canada),3733,james5,James Shelton,2012-01-08 23:53:07 UTC,2016-07-31 15:29:57 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/46448,https://inaturalist-open-data.s3.amazonaws.com/photos/74659/medium.JPG,,"","",1,0,false,,Lake June-in-Winter Scrub State Park,27.2889023,-81.4196567,,,,,29739,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
46450,2008-12-27,2008-12-27,,Eastern Time (US & Canada),3733,james5,James Shelton,2012-01-08 23:53:43 UTC,2016-07-31 15:30:02 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/46450,https://inaturalist-open-data.s3.amazonaws.com/photos/74661/medium.jpg,,"","",1,0,false,,Lake June-in-Winter Scrub State Park,27.2889023,-81.4196567,,,,,29739,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
97068,"June 28, 2012 12:44:14 PM EDT",2012-06-28,2012-06-28 16:44:14 UTC,Eastern Time (US & Canada),6772,chabeck,Chris Habeck,2012-06-29 00:23:58 UTC,2021-07-17 20:21:51 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/97068,http://static.inaturalist.org/photos/141100/medium.jpg,,"","",2,0,false,2,"South Carolina, US",33.3972464,-81.5253753,3792,,,,3792,,open,false,gps,gps,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
150013,2012-11-16,2012-11-16,,Eastern Time (US & Canada),11167,nikkirohde,Nikki Julien,2012-11-19 02:57:43 UTC,2019-04-22 23:05:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/150013,https://inaturalist-open-data.s3.amazonaws.com/photos/206499/medium.JPG,,"",Longleaf Pines,2,0,false,,"Merchant's Mill Pond, NC, USA",36.4261071,-76.6867484,1885,,,,1885,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
228764,Wed Apr 03 2013 18:34:59 GMT-0400 (EDT),2013-04-03,2013-04-03 22:34:59 UTC,Eastern Time (US & Canada),14571,musicwolf,Nolan Eggert,2013-04-03 22:57:32 UTC,2017-01-18 18:26:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/228764,https://inaturalist-open-data.s3.amazonaws.com/photos/287958/medium.jpg,,"","",1,0,false,,"Camp Grace, Fairmont, North Carolina, US",34.486519,-79.196507,5,,,,28804,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
244121,2013-04-23,2013-04-23,,Eastern Time (US & Canada),12796,scadwell,Suzanne Cadwell,2013-04-24 12:29:09 UTC,2022-08-28 20:25:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/244121,https://inaturalist-open-data.s3.amazonaws.com/photos/305300/medium.jpg,,animal,"On Pinus palustris, flushed from a cavity originally created by red-cockaded woodpeckers.",2,0,false,,"hoffman, nc",34.960246,-79.530029,9663,,,,9663,,open,false,,manual,Glaucomys volans,Glaucomys volans,Southern Flying Squirrel,Mammalia,46272
244746,2013-04-23,2013-04-23,,Eastern Time (US & Canada),12796,scadwell,Suzanne Cadwell,2013-04-25 09:57:25 UTC,2017-04-22 23:36:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/244746,https://inaturalist-open-data.s3.amazonaws.com/photos/306021/medium.jpg,,"","",1,0,false,,"Hoffman, NC",35.015931,-79.537931,1292,,,,28720,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
244786,2003-05-13,2003-05-13,,Central Time (US & Canada),9706,greglasley,Greg Lasley,2013-04-25 13:32:26 UTC,2021-03-21 07:49:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/244786,https://inaturalist-open-data.s3.amazonaws.com/photos/306066/medium.jpg,,"","Red-cockaded Woodpecker and Bachman's Sparrow nesting habitat.
Longleaf Pine Forest 
Pinus palustris
Angelina National Forest
Jasper Co., TX
13 May 2003
The grassy component under the pines is the key for both species, several birds of each species were vocalizing in the area when these photos were taken",2,0,false,,"Angelina National Forest Jasper Co., Texas",31.077784,-94.163818,455,,,,455,,open,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
271144,2013-05-18,2013-05-18,,Central Time (US & Canada),15105,geminimind,Michael P. Riggs,2013-05-18 10:09:30 UTC,2022-01-05 16:35:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/271144,https://inaturalist-open-data.s3.amazonaws.com/photos/335305/medium.jpg,,"","",1,0,false,,"217 Ridgewood Drive, Daphne, Alabama 36526",30.64004,-87.89242,,,,,,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
