Datacode,RecType,RecYear,Season,RecDate,Watershed,Block,Plot,Sppnum,Taxa,Cover,Comments
CME01,1,2019,spring,6/1/2019,N1A,A,2,519,Carex austrina,9,
CME01,1,2019,spring,6/1/2019,N1A,A,2,31,Carex brevior,1,
CME01,1,2019,spring,6/1/2019,N1A,A,2,34,Carex meadii,3,
CME01,1,2019,spring,6/1/2019,N1A,A,2,300,Euphorbia nutans,2,
CME01,1,2019,spring,6/1/2019,N1A,A,2,143,Lespedeza violacea,40,
CME01,1,2019,spring,6/1/2019,N1A,A,2,120,Ruellia humilis,2,
CME01,1,2019,spring,6/1/2019,N1A,A,2,43,Symphoricarpos orbiculatus,14,
CME01,1,2019,spring,6/1/2019,N1A,A,2,253,Mirabilis linearis,1,
CME01,1,2019,fall,8/5/2019,N1A,A,2,140,Vernonia baldwinii,4,
CME01,1,2019,fall,8/5/2019,N1A,A,2,139,Verbena stricta,2,
CME01,1,2019,fall,8/5/2019,N1A,A,2,127,Solidago altissima,40,
CME01,1,2019,fall,8/5/2019,N1A,A,2,143,Lespedeza violacea,85,
CME01,1,2019,fall,8/5/2019,N1A,A,2,86,Brickellia eupatorioides,3,
CME01,1,2019,fall,8/5/2019,N1A,A,2,52,Artemisia ludoviciana,3,
CME01,1,2019,fall,8/5/2019,N1A,A,2,18,Sorghastrum nutans,55,
CME01,1,2019,fall,8/5/2019,N1A,A,2,15,Panicum virgatum,2,
CME01,1,2019,fall,8/5/2019,N1A,A,2,2,Andropogon gerardii,40,
CME01,1,2019,spring,6/1/2019,N1A,A,4,6,Bouteloua hirsuta,2,
CME01,1,2019,spring,6/1/2019,N1A,A,4,14,Dichanthelium oligosanthes,1,
CME01,1,2019,spring,6/1/2019,N1A,A,4,519,Carex austrina,2,
CME01,1,2019,spring,6/1/2019,N1A,A,4,34,Carex meadii,3,
CME01,1,2019,spring,6/1/2019,N1A,A,4,33,Carex inops,4,
CME01,1,2019,spring,6/1/2019,N1A,A,4,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,A,4,89,Lepidium densiflorum,1,
CME01,1,2019,spring,6/1/2019,N1A,A,4,143,Lespedeza violacea,23,
CME01,1,2019,spring,6/1/2019,N1A,A,4,92,Linum sulcatum,2,
CME01,1,2019,spring,6/1/2019,N1A,A,4,42,Rosa arkansana,3,
CME01,1,2019,spring,6/1/2019,N1A,A,4,125,Sisyrinchium campestre,1,
CME01,1,2019,fall,8/5/2019,N1A,A,4,140,Vernonia baldwinii,12,
CME01,1,2019,fall,8/5/2019,N1A,A,4,127,Solidago altissima,15,
CME01,1,2019,fall,8/5/2019,N1A,A,4,42,Rosa arkansana,4,
CME01,1,2019,fall,8/5/2019,N1A,A,4,100,Oenothera biennis,2,
CME01,1,2019,fall,8/5/2019,N1A,A,4,92,Linum sulcatum,5,
CME01,1,2019,fall,8/5/2019,N1A,A,4,58,Symphyotrichum ericoides,2,
CME01,1,2019,fall,8/5/2019,N1A,A,4,109,Dalea purpurea,1,
CME01,1,2019,fall,8/5/2019,N1A,A,4,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,A,4,86,Brickellia eupatorioides,2,
CME01,1,2019,fall,8/5/2019,N1A,A,4,90,Lespedeza capitata,9,
CME01,1,2019,fall,8/5/2019,N1A,A,4,2,Andropogon gerardii,60,
CME01,1,2019,fall,8/5/2019,N1A,A,4,14,Dichanthelium oligosanthes,1,
CME01,1,2019,fall,8/5/2019,N1A,A,4,15,Panicum virgatum,3,
CME01,1,2019,fall,8/5/2019,N1A,A,4,3,Schizachyrium scoparium,8,
CME01,1,2019,fall,8/5/2019,N1A,A,4,18,Sorghastrum nutans,30,
CME01,1,2019,fall,8/5/2019,N1A,A,4,46,Ambrosia psilostachya,17,
CME01,1,2019,fall,8/5/2019,N1A,A,4,52,Artemisia ludoviciana,1,
CME01,1,2019,spring,6/1/2019,N1A,A,1,519,Carex austrina,3,
CME01,1,2019,spring,6/1/2019,N1A,A,1,34,Carex meadii,5,
CME01,1,2019,spring,6/1/2019,N1A,A,1,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,A,1,143,Lespedeza violacea,80,
CME01,1,2019,spring,6/1/2019,N1A,A,1,42,Rosa arkansana,4,
CME01,1,2019,spring,6/1/2019,N1A,A,1,43,Symphoricarpos orbiculatus,1,
CME01,1,2019,spring,6/1/2019,N1A,A,1,158,Ulmus americana,6,
CME01,1,2019,fall,8/5/2019,N1A,A,1,158,Ulmus americana,7,
CME01,1,2019,fall,8/5/2019,N1A,A,1,140,Vernonia baldwinii,11,
CME01,1,2019,fall,8/5/2019,N1A,A,1,43,Symphoricarpos orbiculatus,1,
CME01,1,2019,fall,8/5/2019,N1A,A,1,127,Solidago altissima,70,
CME01,1,2019,fall,8/5/2019,N1A,A,1,120,Ruellia humilis,4,
CME01,1,2019,fall,8/5/2019,N1A,A,1,86,Brickellia eupatorioides,7,
